"paese" "cod_paese" "co2" "gdp" "gdppc" "pop"
"173" "Tunisia" "TUN" 25012.607 44879.7987176366 4345.0705029225 10.3289000000001
"174" "Turkey" "TUR" 283979.814 730337.495197849 10297.5054357385 70.9237299999999
"175" "Turkmenistan" "TKM" 47839.682 19271.5231788079 3918.2536702632 4.91839600000001
"176" "Uganda" "UGA" 3747.674 14440.8302672498 460.7884628792 31.3393920000024
"177" "Ukraine" "UKR" 323532.076 179992.405832321 3891.0378231821 46.2581999999997
"178" "United Arab Emirates" "ARE" 155066.429 314844.665222197 50727.2095022039 6.206623
"179" "United Kingdom" "GBR" 522855.528 2635955.18837574 42935.396853615 61.3935209999999
"180" "United States" "USA" 5461013.744 14219300 46759.5598394741 304.093966
"181" "Uruguay" "URY" 8327.757 30366.1482478893 9107.880815263 3.33405200000001
"182" "Uzbekistan" "UZB" 124905.354 27917.5192106579 1022.5186230907 27.3026999999995
"183" "Vanuatu" "VUT" 91.675 593.437284121188 2602.3271434575 0.228040999999999
"184" "Venezuela, RB" "VEN" 169532.744 315600.203539823 11297.662557359 27.9349999999999
"185" "Vietnam" "VNM" 127384.246 91094.0514346179 1070.1549586256 85.1223000000018
"186" "Yemen, Rep." "YEM" 23384.459 26917.3639560592 1189.6338780121 22.626595
"187" "Zambia" "ZMB" 1888.505 14640.794797859 1182.6537695898 12.3796119999999
"188" "Zimbabwe" "ZWE" 9075.825 4415.70280127889 354.6309723445 12.4515429999987
