"BoxOffDomIA" "Anno" "Sequel" "Tipo" "Fonte" "Metodo_Prod" "Genere" "Rating" "Budget"
"White Chicks 2004" 87.855971 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 20
"Whipped 2000" 6.063891 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 3
"Where the Truth Lies 2005" 1.072756 2005 0 NA "Fiction Source" "Live Action" "Drammatico" "Not Rated" 25
"Where the Money Is 2000" 8.283679 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Where the Heart Is 2000" 49.434984 2000 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 15
"When a Stranger Calls 2006" 57.651465 2006 0 "Contemporary Fiction" "Remake" "Live Action" "Horror" "PG-13" 15
"Whatever it Takes 2000" 12.78726 2000 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG-13" 15
"What s the Worst That Could Happen? 2001" 44.981048 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 30
"What s Cooking 2000" 1.52146 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" NA
"What Women Want 2000" 262.912576 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 65
"What the ___ Do We Know 2004" 13.868206 2004 0 "Factual" "Real Life Events" "Live Action" "Documentario" "Not Rated" 4
"What Planet Are You From? 2000" 9.209784 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 50
"What Lies Beneath 2000" 227.434536 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 90
"What Just Happened 2008" 1.198822 2008 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "R" 27
"What Happens in Vegas... 2008" 88.215968 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"What a Girl Wants 2003" 47.092057 2003 0 "Contemporary Fiction" "Remake" "Live Action" "Commedia" "PG" 25
"Whale Rider 2003" 27.180324 2003 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 4.3
"Wendy and Lucy 2008" 0.915926 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Welcome to Mooseport 2004" 18.383866 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 26
"Welcome Home Roscoe Jenkins 2008" 46.632882 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 27.5
"We Were Soldiers 2002" 106.087496 2002 0 "Dramatization" "Fiction Source" "Live Action" "Drammatico" "R" 70
"We Own the Night 2007" 32.756321 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 28
"We Don t Live Here Anymore 2004" 2.588764 2004 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" NA
"We Are Marshall 2006" 51.525187 2006 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG" 65
"Water 2006" 6.660296 2006 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 3
"War 2007" 25.787463 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 25
"WAQT 2005" 0.819376 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Wanted 2008" 147.809532 2008 0 "Science Fiction" "Comic/Graphic Novel" "Live Action" "Azione" "R" 75
"Waltz with Bashir 2008" 2.412943 2008 0 "Factual" "Real Life Events" "Hand Animation" "Documentario" "R" 2
"Wallace & Gromit: The Curse of the Were-Rabbit 2005" 69.014169 2005 0 "Kids Fiction" "Original Screenplay" "Hand Animation" "Avventura" "G" 30
"WALL-E 2008" 245.939553 2008 0 "Science Fiction" "Original Screenplay" "Digital Animation" "Avventura" "G" 180
"Walking Tall 2004" 58.716118 2004 0 "Contemporary Fiction" "Remake" "Live Action" "Azione" "PG-13" 56
"Walk the Line 2005" 146.401349 2005 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 29
"Walk on Water 2005" 3.33908 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Walk Hard: The Dewey Cox Story 2007" 20.811011 2007 0 "Historical Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 35
"Waking Life 2001" 4.018764 2001 0 "Fantasy" "Original Screenplay" "Digital Animation" "Drammatico" "R" NA
"Waitress 2007" 21.866804 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 1.5
"Waiting... 2005" 19.818678 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 1.125
"Waist Deep 2006" 25.710938 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"W. 2008" 28.059491 2008 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 25.1
"Volver 2006" 15.068219 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 9.4
"View from the Top 2003" 20.430256 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Vicky Cristina Barcelona 2008" 25.494413 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 16
"Vertical Limit 2000" 99.074115 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 75
"Vers le sud 2006" 1.082066 2006 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "Not Rated" NA
"Veronica Guerin 2003" 2.054169 2003 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" 17
"Vera Drake 2004" 4.704665 2004 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Venus 2006" 3.845381 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 6
"Venom 2005" 1.085333 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 25
"Veer-Zaara 2004" 3.730952 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" 7
"Vantage Point 2008" 79.412416 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" NA
